model,train_R2,test_R2,test_MAE,test_RMSE,R2_gap
DecisionTree,0.40978159870655495,0.37740565738194853,2.233481203559359,2.7220673131131092,0.032375941324606416
XGBoost,0.7072676420211792,0.36612004041671753,2.230456590652466,2.7466275603865284,0.34114760160446167
LassoCV,0.4428617155399691,0.36212400679047363,2.2350488478463624,2.755271527428304,0.08073770874949548
Dummy,0.0,-0.0013477818450611245,2.8972924591631237,3.452142746769942,0.0013477818450611245
