,0
decade_started,0.451816126704216
raised_musd,0.23614062666893004
Sector,0.03726709485054016
No Budget,0.014393070340156555
Poor Market Fit,0.01304020881652832
Trend Shifts,0.00729779303073883
big_tech_pressure,0.005120420455932617
Competition,0.0030353128910064696
Execution Flaws,0.0014937490224838257
Monetization Failure,0.0010092645883560182
n_flags_sq,0.0005201816558837891
n_flags,0.00037083923816680906
Niche Limits,2.0489096641540527e-05
Acquisition Stagnation,-0.0025524914264678953
single_cause_failure,-0.0040595710277557375
Giants,-0.025951892137527466
