model,train_accuracy,test_accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro_ovr
XGBoost,0.9877675840978594,0.5975609756097561,0.6049405878674171,0.5817855979146301,0.5878557983821141,0.7463320850904714
DecisionTree,0.6055045871559633,0.5853658536585366,0.6257683215130023,0.5781470620180298,0.5850267379679144,0.721822606628999
LogisticRegressionCV,0.6146788990825688,0.5365853658536586,0.5693244739756368,0.5299771912675139,0.5415100250626567,0.6957228313286866
Dummy,0.4036697247706422,0.4024390243902439,0.13414634146341464,0.3333333333333333,0.19130434782608696,0.5
